Action, Timestamp
Read from Series CSV, 2021.05.23 14:26:53
Read from Curriculum CSV, 2021.05.23 14:26:53
Print Groups from list, 2021.05.23 14:27:25
Read from Student CSV, 2021.05.23 14:27:52
Read from Professor CSV, 2021.05.23 14:27:52
Read from Subject CSV, 2021.05.23 14:27:52
Read from OptionalSubject CSV, 2021.05.23 14:27:52
Read from Group CSV, 2021.05.23 14:27:52
Read from Series CSV, 2021.05.23 14:27:52
Read from Curriculum CSV, 2021.05.23 14:27:52
Read from Student CSV, 2021.05.23 14:33:04
Read from Professor CSV, 2021.05.23 14:33:04
Read from Subject CSV, 2021.05.23 14:33:04
Read from OptionalSubject CSV, 2021.05.23 14:33:04
Read from Group CSV, 2021.05.23 14:33:04
Read from Series CSV, 2021.05.23 14:33:04
Read from Curriculum CSV, 2021.05.23 14:33:04
Read from Student CSV, 2021.05.23 14:34:18
Read from Professor CSV, 2021.05.23 14:34:18
Read from Subject CSV, 2021.05.23 14:34:18
Read from OptionalSubject CSV, 2021.05.23 14:34:18
Read from Group CSV, 2021.05.23 14:34:18
Read from Series CSV, 2021.05.23 14:34:18
Read from Curriculum CSV, 2021.05.23 14:34:18
Read from Student CSV, 2021.05.23 14:35:28
Read from Professor CSV, 2021.05.23 14:35:28
Read from Subject CSV, 2021.05.23 14:35:28
Read from OptionalSubject CSV, 2021.05.23 14:35:28
Read from Group CSV, 2021.05.23 14:35:28
Read from Series CSV, 2021.05.23 14:35:28
Read from Curriculum CSV, 2021.05.23 14:35:28
Read from Student CSV, 2021.05.23 14:35:43
Read from Professor CSV, 2021.05.23 14:35:43
Read from Subject CSV, 2021.05.23 14:35:43
Read from OptionalSubject CSV, 2021.05.23 14:35:43
Read from Group CSV, 2021.05.23 14:35:43
Read from Series CSV, 2021.05.23 14:35:43
Read from Curriculum CSV, 2021.05.23 14:35:43
Read from Student CSV, 2021.05.23 14:40:46
Read from Professor CSV, 2021.05.23 14:40:46
Read from Subject CSV, 2021.05.23 14:40:46
Read from OptionalSubject CSV, 2021.05.23 14:40:46
Read from Group CSV, 2021.05.23 14:40:46
Read from Series CSV, 2021.05.23 14:40:46
Read from Curriculum CSV, 2021.05.23 14:40:46
Read from Student CSV, 2021.05.23 14:42:22
Read from Professor CSV, 2021.05.23 14:42:22
Read from Subject CSV, 2021.05.23 14:42:22
Read from OptionalSubject CSV, 2021.05.23 14:42:22
Read from Group CSV, 2021.05.23 14:42:22
Read from Series CSV, 2021.05.23 14:42:22
Read from Curriculum CSV, 2021.05.23 14:42:22
Read from Student CSV, 2021.05.23 14:42:51
Read from Professor CSV, 2021.05.23 14:42:51
Read from Subject CSV, 2021.05.23 14:42:51
Read from OptionalSubject CSV, 2021.05.23 14:42:51
Read from Group CSV, 2021.05.23 14:42:51
Read from Series CSV, 2021.05.23 14:42:51
Read from Curriculum CSV, 2021.05.23 14:42:51
Read from Student CSV, 2021.05.23 14:48:10
Read from Professor CSV, 2021.05.23 14:48:10
Read from Subject CSV, 2021.05.23 14:48:10
Read from OptionalSubject CSV, 2021.05.23 14:48:10
Read from Group CSV, 2021.05.23 14:48:10
Read from Series CSV, 2021.05.23 14:48:10
Read from Curriculum CSV, 2021.05.23 14:48:10
Read from Student CSV, 2021.05.23 14:49:07
Read from Professor CSV, 2021.05.23 14:49:07
Read from Subject CSV, 2021.05.23 14:49:07
Read from OptionalSubject CSV, 2021.05.23 14:49:07
Read from Group CSV, 2021.05.23 14:49:07
Read from Series CSV, 2021.05.23 14:49:07
Read from Curriculum CSV, 2021.05.23 14:49:07
Read from Student CSV, 2021.05.23 14:50:21
Read from Professor CSV, 2021.05.23 14:50:21
Read from Subject CSV, 2021.05.23 14:50:21
Read from OptionalSubject CSV, 2021.05.23 14:50:21
Read from Group CSV, 2021.05.23 14:50:21
Read from Series CSV, 2021.05.23 14:50:21
Read from Curriculum CSV, 2021.05.23 14:50:21
Read from Student CSV, 2021.05.23 14:51:33
Read from Professor CSV, 2021.05.23 14:51:33
Read from Subject CSV, 2021.05.23 14:51:33
Read from OptionalSubject CSV, 2021.05.23 14:51:33
Read from Group CSV, 2021.05.23 14:51:33
Read from Series CSV, 2021.05.23 14:51:33
Read from Curriculum CSV, 2021.05.23 14:51:33
Read from Student CSV, 2021.05.23 15:02:26
